frame,ball_x,ball_y,source,confidence,cam_cx,cam_cy,crop_x0,crop_y0,crop_w,crop_h,ball_in_crop,dist_to_edge,speed_limited,keepinview,clamp_flags
0,,,none,0.00,960.0,540.0,638.0,0.0,643.9,1144.8,,,1,0,conf_zoom=0.60|edge_zoom=0.920|bounds|final_speed
1,,,none,0.00,960.0,540.0,637.0,0.0,645.9,1148.3,,,0,0,accel_zoom=0.851|conf_zoom=0.60|bounds
52,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
53,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
54,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
55,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
56,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
57,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
58,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
59,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
60,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
61,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
62,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
63,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
64,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
65,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
66,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
67,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
68,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
69,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
70,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
71,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
72,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
73,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
74,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
75,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
76,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
77,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
78,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
79,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
80,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
81,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
82,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
83,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
84,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
85,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
86,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
87,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
88,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
89,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
90,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
91,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
92,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
93,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
94,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
95,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
96,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
97,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
98,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
99,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
100,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
101,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
102,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
103,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
104,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
105,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
106,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
107,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
108,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
109,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
110,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
111,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
112,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
113,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
114,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
115,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
116,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
117,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
118,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
119,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
120,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
121,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
122,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
123,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
124,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
125,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
126,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
127,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
128,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
129,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
130,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
131,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
132,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
133,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
134,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
135,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
136,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
137,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
138,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
139,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
140,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
141,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
142,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
143,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
144,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
145,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
146,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
147,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
148,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
149,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
150,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
151,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
152,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
153,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
154,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
155,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
156,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
157,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
158,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
159,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
160,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
161,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
162,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
163,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
164,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
165,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
166,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
167,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
168,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
169,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
170,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
171,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
172,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
173,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
174,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
175,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
176,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
177,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
178,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
179,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
180,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
181,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
182,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
183,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
184,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
185,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
186,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
187,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
188,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
189,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
190,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
191,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
192,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
193,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
194,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
195,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
196,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
197,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
198,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
199,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
200,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
201,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
202,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
203,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
204,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
205,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
206,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
207,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
208,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
209,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
210,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
211,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
212,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
213,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
214,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
215,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
216,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
217,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
218,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
219,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
220,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
221,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
222,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
223,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
224,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
225,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
226,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
227,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
228,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
229,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
230,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
231,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
232,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
233,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
234,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
235,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
236,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
237,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
238,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
239,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
240,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
241,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
242,,,none,0.00,960.0,540.0,631.2,0.0,657.5,1168.9,,,0,0,conf_zoom=0.60|bounds
