"RelativePath","FullPath","SizeBytes","LastWriteTime","FirstLine","Functions","PurposeGuess","SuggestedMode"
".git\logs\refs\remotes\origin\codex\overwrite-render_follow_cli.py","C:\Users\scott\soccer-video\.git\logs\refs\remotes\origin\codex\overwrite-render_follow_cli.py","162","10/17/2025 4:12:48 PM","0000000000000000000000000000000000000000 88ca6c6b11c9f55550687b7fed93d091b82dc929 Scott Briggs <sbriggssjc@gmail.com> 1760735567 -0500	fetch origin: storing head","","","Inventory"
".git\logs\refs\remotes\origin\codex\refactor-track_ball_cli.py-and-plan_render_cli.py","C:\Users\scott\soccer-video\.git\logs\refs\remotes\origin\codex\refactor-track_ball_cli.py-and-plan_render_cli.py","162","10/17/2025 4:12:48 PM","0000000000000000000000000000000000000000 fd445bfa8731348a89bc4f8d4330ec3fc4ddf993 Scott Briggs <sbriggssjc@gmail.com> 1760735567 -0500	fetch origin: storing head","","","Plan"
".git\logs\refs\remotes\origin\codex\replace-filter-blocks-in-make_team_opener_short.ps1","C:\Users\scott\soccer-video\.git\logs\refs\remotes\origin\codex\replace-filter-blocks-in-make_team_opener_short.ps1","162","10/17/2025 4:12:48 PM","0000000000000000000000000000000000000000 47423dbc6908fcb696532595972d421cefad2524 Scott Briggs <sbriggssjc@gmail.com> 1760735567 -0500	fetch origin: storing head","","","Inventory"
".git\logs\refs\remotes\origin\codex\stop-snapping-to-decoys-in-ball_path_planner_imm.py","C:\Users\scott\soccer-video\.git\logs\refs\remotes\origin\codex\stop-snapping-to-decoys-in-ball_path_planner_imm.py","162","10/17/2025 4:12:48 PM","0000000000000000000000000000000000000000 f8aded622bc4d287ef6bdcde2aca3925a48500f3 Scott Briggs <sbriggssjc@gmail.com> 1760735567 -0500	fetch origin: storing head","","","Plan"
".git\logs\refs\remotes\origin\codex\update-crop-logic-in-render_follow_cli.py","C:\Users\scott\soccer-video\.git\logs\refs\remotes\origin\codex\update-crop-logic-in-render_follow_cli.py","162","10/17/2025 4:12:48 PM","0000000000000000000000000000000000000000 4c0b0a7a57042e41c25af8e5018178211938f9dc Scott Briggs <sbriggssjc@gmail.com> 1760735567 -0500	fetch origin: storing head","","","Inventory"
".git\logs\refs\remotes\origin\codex\update-filtergraph-in-make_team_opener_short.ps1","C:\Users\scott\soccer-video\.git\logs\refs\remotes\origin\codex\update-filtergraph-in-make_team_opener_short.ps1","162","10/17/2025 4:12:48 PM","0000000000000000000000000000000000000000 5e9ceb64c776e78fc3344788f14684d42a0f8240 Scott Briggs <sbriggssjc@gmail.com> 1760735567 -0500	fetch origin: storing head","","","Inventory"
".git\logs\refs\remotes\origin\codex\update-font-usage-in-make_team_opener_short.ps1","C:\Users\scott\soccer-video\.git\logs\refs\remotes\origin\codex\update-font-usage-in-make_team_opener_short.ps1","162","10/17/2025 4:12:48 PM","0000000000000000000000000000000000000000 2317e77f4106a489f4301a9cce36327a63cfbbdb Scott Briggs <sbriggssjc@gmail.com> 1760735567 -0500	fetch origin: storing head","","","Inventory"
".git\logs\refs\remotes\origin\codex\update-loop-in-make_reel.ps1","C:\Users\scott\soccer-video\.git\logs\refs\remotes\origin\codex\update-loop-in-make_reel.ps1","162","10/17/2025 4:12:48 PM","0000000000000000000000000000000000000000 cde7ccdd34919cde3a7ff5b5750c3e93615bd086 Scott Briggs <sbriggssjc@gmail.com> 1760735567 -0500	fetch origin: storing head","","","Inventory"
".git\logs\refs\remotes\origin\codex\update-telemetry-in-render_follow_unified.py","C:\Users\scott\soccer-video\.git\logs\refs\remotes\origin\codex\update-telemetry-in-render_follow_unified.py","162","10/17/2025 4:12:48 PM","0000000000000000000000000000000000000000 de7733d9d7b808651f972b061bb93c5cf2df7e91 Scott Briggs <sbriggssjc@gmail.com> 1760735567 -0500	fetch origin: storing head","","","Inventory"
".git\logs\refs\remotes\origin\codex\update-telemetry-writing-in-render_follow_unified.py","C:\Users\scott\soccer-video\.git\logs\refs\remotes\origin\codex\update-telemetry-writing-in-render_follow_unified.py","155","10/22/2025 5:05:08 PM","0000000000000000000000000000000000000000 ed660e5b58580c892331b6f105a1db9905af9143 Scott Briggs <sbriggssjc@gmail.com> 1761170708 -0500	fetch: storing head","","","Inventory"
".git\refs\remotes\origin\codex\add-cli-arguments-to-track_ball_cli.py","C:\Users\scott\soccer-video\.git\refs\remotes\origin\codex\add-cli-arguments-to-track_ball_cli.py","41","10/17/2025 4:12:47 PM","89d802462d3aea14169348d5e7b4589669341a71","","","Inventory"
".git\refs\remotes\origin\codex\add-edge-aware-zoom-to-render_follow_unified.py","C:\Users\scott\soccer-video\.git\refs\remotes\origin\codex\add-edge-aware-zoom-to-render_follow_unified.py","41","10/21/2025 3:10:08 PM","fa9a52622dbf5787e189b71c3dca55d5f1ff24f9","","","Inventory"
".git\refs\remotes\origin\codex\add-ignore-rules-to-scan-atomicclips.ps1","C:\Users\scott\soccer-video\.git\refs\remotes\origin\codex\add-ignore-rules-to-scan-atomicclips.ps1","41","10/17/2025 4:12:47 PM","416e98e741b533d48b64ac505e37a40ee55c7a1b","","","Inventory"
".git\refs\remotes\origin\codex\add-outfile-parameter-to-make_opener.ps1","C:\Users\scott\soccer-video\.git\refs\remotes\origin\codex\add-outfile-parameter-to-make_opener.ps1","41","10/17/2025 4:12:47 PM","6c492b6154d877ef41ac25e9540a9c49785bc891","","","Inventory"
".git\refs\remotes\origin\codex\fix-coordinate-space-bug-in-ball_path_planner_imm.py","C:\Users\scott\soccer-video\.git\refs\remotes\origin\codex\fix-coordinate-space-bug-in-ball_path_planner_imm.py","41","10/17/2025 4:12:47 PM","a8f600b05cd214cb58717cfcb003b267dc54a1f3","","","Plan"
".git\refs\remotes\origin\codex\fix-python-indentationerror-in-render_follow_unified.py","C:\Users\scott\soccer-video\.git\refs\remotes\origin\codex\fix-python-indentationerror-in-render_follow_unified.py","41","10/17/2025 4:12:48 PM","c3bb0ea0b82d885cdfc65dfc0f181da5a463e24f","","","Inventory"
".git\refs\remotes\origin\codex\fix-script-invocation-in-batch_make_openers.ps1","C:\Users\scott\soccer-video\.git\refs\remotes\origin\codex\fix-script-invocation-in-batch_make_openers.ps1","41","10/17/2025 4:12:48 PM","ec2e673759b6dbb937b75bcce2591bbb206be802","","","Inventory"
".git\refs\remotes\origin\codex\fix-zoom-calculation-in-render_follow_unified.py","C:\Users\scott\soccer-video\.git\refs\remotes\origin\codex\fix-zoom-calculation-in-render_follow_unified.py","41","10/21/2025 9:52:18 PM","9b718740b9cdf1fd204c2790cf86acd888018caa","","","Inventory"
".git\refs\remotes\origin\codex\implement-dynamic-follow-and-zoom-in-autoframe.py","C:\Users\scott\soccer-video\.git\refs\remotes\origin\codex\implement-dynamic-follow-and-zoom-in-autoframe.py","41","10/17/2025 4:12:48 PM","83450dff99ef344caf32b7056e453d5f09b2821d","","","Inventory"
".git\refs\remotes\origin\codex\make-cataloging-recursive-in-build-atomicindex.ps1","C:\Users\scott\soccer-video\.git\refs\remotes\origin\codex\make-cataloging-recursive-in-build-atomicindex.ps1","41","10/17/2025 4:12:48 PM","5b9e0a308a5ad6c0d03bfaccd2924a4661a0082f","","","Index"
".git\refs\remotes\origin\codex\overwrite-render_follow_cli.py","C:\Users\scott\soccer-video\.git\refs\remotes\origin\codex\overwrite-render_follow_cli.py","41","10/17/2025 4:12:48 PM","88ca6c6b11c9f55550687b7fed93d091b82dc929","","","Inventory"
".git\refs\remotes\origin\codex\refactor-track_ball_cli.py-and-plan_render_cli.py","C:\Users\scott\soccer-video\.git\refs\remotes\origin\codex\refactor-track_ball_cli.py-and-plan_render_cli.py","41","10/17/2025 4:12:48 PM","fd445bfa8731348a89bc4f8d4330ec3fc4ddf993","","","Plan"
".git\refs\remotes\origin\codex\replace-filter-blocks-in-make_team_opener_short.ps1","C:\Users\scott\soccer-video\.git\refs\remotes\origin\codex\replace-filter-blocks-in-make_team_opener_short.ps1","41","10/17/2025 4:12:48 PM","47423dbc6908fcb696532595972d421cefad2524","","","Inventory"
".git\refs\remotes\origin\codex\stop-snapping-to-decoys-in-ball_path_planner_imm.py","C:\Users\scott\soccer-video\.git\refs\remotes\origin\codex\stop-snapping-to-decoys-in-ball_path_planner_imm.py","41","10/17/2025 4:12:48 PM","f8aded622bc4d287ef6bdcde2aca3925a48500f3","","","Plan"
".git\refs\remotes\origin\codex\update-crop-logic-in-render_follow_cli.py","C:\Users\scott\soccer-video\.git\refs\remotes\origin\codex\update-crop-logic-in-render_follow_cli.py","41","10/17/2025 4:12:48 PM","4c0b0a7a57042e41c25af8e5018178211938f9dc","","","Inventory"
".git\refs\remotes\origin\codex\update-filtergraph-in-make_team_opener_short.ps1","C:\Users\scott\soccer-video\.git\refs\remotes\origin\codex\update-filtergraph-in-make_team_opener_short.ps1","41","10/17/2025 4:12:48 PM","5e9ceb64c776e78fc3344788f14684d42a0f8240","","","Inventory"
".git\refs\remotes\origin\codex\update-font-usage-in-make_team_opener_short.ps1","C:\Users\scott\soccer-video\.git\refs\remotes\origin\codex\update-font-usage-in-make_team_opener_short.ps1","41","10/17/2025 4:12:48 PM","2317e77f4106a489f4301a9cce36327a63cfbbdb","","","Inventory"
".git\refs\remotes\origin\codex\update-loop-in-make_reel.ps1","C:\Users\scott\soccer-video\.git\refs\remotes\origin\codex\update-loop-in-make_reel.ps1","41","10/17/2025 4:12:48 PM","cde7ccdd34919cde3a7ff5b5750c3e93615bd086","","","Inventory"
".git\refs\remotes\origin\codex\update-telemetry-in-render_follow_unified.py","C:\Users\scott\soccer-video\.git\refs\remotes\origin\codex\update-telemetry-in-render_follow_unified.py","41","10/17/2025 4:12:48 PM","de7733d9d7b808651f972b061bb93c5cf2df7e91","","","Inventory"
".git\refs\remotes\origin\codex\update-telemetry-writing-in-render_follow_unified.py","C:\Users\scott\soccer-video\.git\refs\remotes\origin\codex\update-telemetry-writing-in-render_follow_unified.py","41","10/22/2025 5:05:08 PM","ed660e5b58580c892331b6f105a1db9905af9143","","","Inventory"
".venv\Lib\site-packages\contourpy\util\_build_config.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\contourpy\util\_build_config.py","2084","9/27/2025 7:24:26 PM","# _build_config.py.in is converted into _build_config.py during the meson build process.","","# _build_config.py.in is converted into _build_config.py during the meson build process.","Index"
".venv\Lib\site-packages\dateutil\zoneinfo\rebuild.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\dateutil\zoneinfo\rebuild.py","2392","9/19/2025 2:24:21 PM","import logging","","","Index"
".venv\Lib\site-packages\fontTools\colorLib\builder.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\fontTools\colorLib\builder.py","23672","9/27/2025 7:24:21 PM","""""""","","""""""","Index"
".venv\Lib\site-packages\fontTools\colorLib\table_builder.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\fontTools\colorLib\table_builder.py","7692","9/27/2025 7:24:21 PM","""""""","","""""""","Index"
".venv\Lib\site-packages\fontTools\colorLib\unbuilder.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\fontTools\colorLib\unbuilder.py","2223","9/27/2025 7:24:21 PM","from fontTools.ttLib.tables import otTables as ot","","","Index"
".venv\Lib\site-packages\fontTools\feaLib\builder.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\fontTools\feaLib\builder.py","75565","9/27/2025 7:24:21 PM","from fontTools.misc import sstruct","","","Index"
".venv\Lib\site-packages\fontTools\fontBuilder.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\fontTools\fontBuilder.py","35144","9/27/2025 7:24:21 PM","__all__ = [""FontBuilder""]","","""""""","Index"
".venv\Lib\site-packages\fontTools\otlLib\builder.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\fontTools\otlLib\builder.py","132192","9/27/2025 7:24:21 PM","from __future__ import annotations","","","Index"
".venv\Lib\site-packages\fontTools\varLib\avar\build.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\fontTools\varLib\avar\build.py","2166","9/27/2025 7:24:22 PM","from fontTools.varLib import _add_fvar, _add_avar, load_designspace","","","Index"
".venv\Lib\site-packages\fontTools\varLib\avar\unbuild.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\fontTools\varLib\avar\unbuild.py","10738","9/27/2025 7:24:22 PM","from fontTools.varLib.models import VariationModel","","","Index"
".venv\Lib\site-packages\fontTools\varLib\builder.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\fontTools\varLib\builder.py","6824","9/27/2025 7:24:22 PM","from fontTools import ttLib","","# VariationStore","Index"
".venv\Lib\site-packages\llvmlite\ir\builder.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\llvmlite\ir\builder.py","34748","9/14/2025 10:00:02 AM","import contextlib","","","Index"
".venv\Lib\site-packages\numba\cuda\tests\cudapy\test_atomics.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\numba\cuda\tests\cudapy\test_atomics.py","60069","9/14/2025 10:00:19 AM","import numpy as np","","","Inventory"
".venv\Lib\site-packages\numba\np\ufunc\ufuncbuilder.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\numba\np\ufunc\ufuncbuilder.py","14737","9/14/2025 10:00:19 AM","# -*- coding: utf-8 -*-","","# -*- coding: utf-8 -*-","Index"
".venv\Lib\site-packages\numba\tests\npyufunc\test_ufuncbuilding.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\numba\tests\npyufunc\test_ufuncbuilding.py","17280","9/14/2025 10:00:19 AM","import pickle","","","Index"
".venv\Lib\site-packages\numba\tests\npyufunc\ufuncbuilding_usecases.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\numba\tests\npyufunc\ufuncbuilding_usecases.py","1130","9/14/2025 10:00:19 AM","from numba import vectorize","","""""""An addition""""""","Index"
".venv\Lib\site-packages\numba\tests\test_fancy_indexing.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\numba\tests\test_fancy_indexing.py","20260","9/14/2025 10:00:19 AM","import collections","","","Index"
".venv\Lib\site-packages\numba\tests\test_indexing.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\numba\tests\test_indexing.py","39720","9/14/2025 10:00:19 AM","import decimal","","","Index"
".venv\Lib\site-packages\numpy\_core\tests\test_indexerrors.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\numpy\_core\tests\test_indexerrors.py","4858","10/5/2025 1:27:03 PM","import numpy as np","","'''Tests to exercise indexerrors not covered by other tests.'''","Index"
".venv\Lib\site-packages\numpy\_core\tests\test_indexing.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\numpy\_core\tests\test_indexing.py","56741","10/5/2025 1:27:03 PM","import sys","","","Index"
".venv\Lib\site-packages\numpy\lib\_index_tricks_impl.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\numpy\lib\_index_tricks_impl.py","33248","10/5/2025 1:27:02 PM","import functools","","","Index"
".venv\Lib\site-packages\numpy\lib\tests\test_index_tricks.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\numpy\lib\tests\test_index_tricks.py","20921","10/5/2025 1:27:02 PM","import pytest","","","Index"
".venv\Lib\site-packages\numpy\testing\_private\extbuild.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\numpy\testing\_private\extbuild.py","8358","10/5/2025 1:27:02 PM","""""""","","""""""","Index"
".venv\Lib\site-packages\numpy\typing\tests\data\pass\index_tricks.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\numpy\typing\tests\data\pass\index_tricks.py","1462","10/5/2025 1:27:02 PM","from __future__ import annotations","","","Index"
".venv\Lib\site-packages\pandas\core\groupby\indexing.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\pandas\core\groupby\indexing.py","9510","9/19/2025 2:24:22 PM","from __future__ import annotations","","","Index"
".venv\Lib\site-packages\pandas\core\indexing.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\pandas\core\indexing.py","98741","9/19/2025 2:24:22 PM","from __future__ import annotations","","","Index"
".venv\Lib\site-packages\pandas\tests\arrays\boolean\test_indexing.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\pandas\tests\arrays\boolean\test_indexing.py","361","9/19/2025 2:24:22 PM","import numpy as np","","","Index"
".venv\Lib\site-packages\pandas\tests\arrays\categorical\test_indexing.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\pandas\tests\arrays\categorical\test_indexing.py","12972","9/19/2025 2:24:22 PM","import math","","","Index"
".venv\Lib\site-packages\pandas\tests\arrays\integer\test_indexing.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\pandas\tests\arrays\integer\test_indexing.py","498","9/19/2025 2:24:22 PM","import pandas as pd","","# GH 31446","Index"
".venv\Lib\site-packages\pandas\tests\arrays\masked\test_indexing.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\pandas\tests\arrays\masked\test_indexing.py","1915","9/19/2025 2:24:22 PM","import re","","","Index"
".venv\Lib\site-packages\pandas\tests\arrays\numpy_\test_indexing.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\pandas\tests\arrays\numpy_\test_indexing.py","1452","9/19/2025 2:24:22 PM","import numpy as np","","","Index"
".venv\Lib\site-packages\pandas\tests\arrays\sparse\test_indexing.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\pandas\tests\arrays\sparse\test_indexing.py","10425","9/19/2025 2:24:22 PM","import numpy as np","","","Index"
".venv\Lib\site-packages\pandas\tests\copy_view\index\test_datetimeindex.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\pandas\tests\copy_view\index\test_datetimeindex.py","1980","9/19/2025 2:24:22 PM","import pytest","","","Index"
".venv\Lib\site-packages\pandas\tests\copy_view\index\test_index.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\pandas\tests\copy_view\index\test_index.py","5363","9/19/2025 2:24:22 PM","import numpy as np","","","Index"
".venv\Lib\site-packages\pandas\tests\copy_view\index\test_periodindex.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\pandas\tests\copy_view\index\test_periodindex.py","653","9/19/2025 2:24:22 PM","import pytest","","","Index"
".venv\Lib\site-packages\pandas\tests\copy_view\index\test_timedeltaindex.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\pandas\tests\copy_view\index\test_timedeltaindex.py","661","9/19/2025 2:24:22 PM","import pytest","","","Index"
".venv\Lib\site-packages\pandas\tests\copy_view\test_indexing.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\pandas\tests\copy_view\test_indexing.py","42980","9/19/2025 2:24:22 PM","import numpy as np","","","Index"
".venv\Lib\site-packages\pandas\tests\extension\base\index.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\pandas\tests\extension\base\index.py","517","9/19/2025 2:24:22 PM","""""""","","""""""","Index"
".venv\Lib\site-packages\pandas\tests\frame\indexing\test_indexing.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\pandas\tests\frame\indexing\test_indexing.py","70421","9/19/2025 2:24:22 PM","from collections import namedtuple","","","Index"
".venv\Lib\site-packages\pandas\tests\frame\methods\test_first_valid_index.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\pandas\tests\frame\methods\test_first_valid_index.py","2574","9/19/2025 2:24:22 PM","""""""","","""""""","Index"
".venv\Lib\site-packages\pandas\tests\frame\methods\test_reindex.py","C:\Users\scott\soccer-video\.venv\Lib\site-packages\pandas\tests\frame\methods\test_reindex.py","48343","9/19/2025 2:24:22 PM","from datetime import (","","","Index"
